# Music Cards song catalog — one physical card per line.
# Format: title;artist;year;spotify-link
# Generated by ImportPlaylists (make import); edit years freely, they
# come from the ALBUM release date and compilations are marked below.
Vyvedeny Z Miery;I.M.T. Smile;2000;spotify:track:6hfgB1p92auW3j18UI26bg
Povídej;Petr Novak;2005;spotify:track:5ovMIy99zoiAxL70mO3tjU
Neriešme;EGO & MONIKA BAGÁROVÁ;2016;spotify:track:0VqfBbfsKmDSR8ZSqKm7U6
Hvězdáři (feat. Sima Martausová);KRYŠTOF;2021;spotify:track:4xJP2rJHIJXfxpIpzxhhIA
Údolí včel;ANNA K.;2023;spotify:track:0vOYTEw7YkpMxyRnhkcXMG
Dobrý deň, to som ja;Sima Martausová;2013;spotify:track:0Z2A7Zz3P4DvxiZhgkr9NN
Možno sa ti zdá;Miro Žbirka;1988;spotify:track:1acs2l2gGZnCV2pFdWeFXP
Amen savore [feat. Kmetoband];Rytmus;2008;spotify:track:4dXs0xi24SmMzKZganbCOu
Blízko;POETIKA;2026;spotify:track:6YTqTQTaikBtwGkDhNBM1t
Tabacek;Chinaski;2013;spotify:track:0bIrdIDgo9GZaP5rCptNvO
ZRPŠ;Pavol Hammel;1981;spotify:track:1MoGlyvRdrLEVVy0Zi3aWm
Sľub, že prežijem;ZUZANA SMATANOVÁ;2023;spotify:track:2dQRSmBhXiWerS1nw2KcuF
Lítam s Táčkama (Bonus);Bukasový Masív;2000;spotify:track:5bibB6k9HRnZWoSKcl1ghq
Topolčianska Zlatokopka;Gipsy Čáve;2022;spotify:track:7EIXy2z2dCur9Lpo1CuIVf
Schody z nebe;Tereza Kerndlová;2010;spotify:track:1xtHWCJ3qZo5uiTv6CgKlG
Len s ňou;Miro Žbirka;1988;spotify:track:1cEF2paCIXQxEdxLB7zEuO
Duo band kladno a ty budes;MTH Studio;2023;spotify:track:53VeRtVgKFC69QmA7NQtzr
Žijem Žijem...;Peter Staśak;2017;spotify:track:1DVwYulIXNXyKTD6i3UeXn
Život je krásný;KRYŠTOF;2023;spotify:track:6J7HHQwzUY0PTbsD1BTfm9
MTE4M;LICKLIP;2023;spotify:track:4XIRYg2BQDy5N97TYqF1E2
Kdyz me brali za vojaka;Jaromir Nohavica;2012;spotify:track:34tLUhg2yRyewB16h6WSJp
Pod Papucou;Rakby;2013;spotify:track:2HN7qrRecORv9MXHmwrQ4J
Amnestia Na Neveru;Elán;2015;spotify:track:6406Fse08u9wpG5ia6KOkG
DNES VEČER;CALL DOMINIKA & FIEDLERSKI;2026;spotify:track:5AbT4LYmqzE1UukDdxvJLt
Klara;Chinaski;2000;spotify:track:4cxOQH52Qv2TxfmQR7HBCQ
Čerešne;Milan Lasica;1982;spotify:track:6XPlbJfUXa5zBsiWW4fE2u
Modra;Jana Kirschner;2000;spotify:track:6WfhZNzOioBmDUq4xb5kvz
Vpoho;MICHAL HORÁK;2020;spotify:track:1Y6KR2ZsOw11vVgK8dx7lG
Nádherná zář;DAVID DEYL;2016;spotify:track:21zaUc14RMjkPQYSHAkTYt
Tanecnice z Lucnice;Elán;1986;spotify:track:5DsXdJ8EQrT2Ctl6siZ429
Nechodí;Miro Žbirka;1983;spotify:track:16sPlBVq7rKexFFpt5mT1c
Na srdci (feat. Celeste Buckingham);SLZA;2017;spotify:track:3Ja24lJD1Bm0bkZOi63L49
Náhradní díly;SEBASTIAN;2017;spotify:track:1bbC9FXKyF9KeH5lEAUAOG
Bouře;SLZA;2023;spotify:track:2ZsYxQvA5xL7H4ihjF7Gfr
Zvony bijú ôsmu (Godine nisu važne);Marcela Laiferová;1977;spotify:track:42O3HSqse7rczKRCpj2LOK
V sieti ta mam;Kristína;2010;spotify:track:2WKGGQ6UmyUZGZgRJyEROB
Malý princ;Aya;2011;spotify:track:7r2cC1T5z8QvyifRVd6m04
Sme svoji;Peter Nagy;1985;spotify:track:7D1Pd9D7NNP9dS223ruc7s
Hell.o;LENNY;2016;spotify:track:1gUSLYMkpZfJGzhf595dRq
Někde kolem;JELEN;2021;spotify:track:4zmGHzW4cmMVv0jF7htC9q
Chocolate;MARTIN HARICH;2015;spotify:track:7KtivGhSE92gqgDnSB6pnp
Run Run Run;CELESTE BUCKINGHAM;2012;spotify:track:08KyjbAXbJl0EdtTi7GH3x
Cesty II. triedy;IVAN TÁSLER & IMT SMILE;2015;spotify:track:1HRxBLlco4o37Mu341Yv7j
Láska drž ma nad hladinou;Tublatanka;1988;spotify:track:0DOhlTS5w4FbLDKyBfoF9d
L.A.G. Song;Horkýže Slíže;2002;spotify:track:3YgwUGBd7Xg3iIqvI2MODb
Keep It Simple;I AM KUBA;2013;spotify:track:1MRn3kha4y14VlaNYNftMg
Chýbanie;DESMOD;2017;spotify:track:4AQujgKKlS7R02rw3R3JYy
Nocna optika;Richard Muller;2002;spotify:track:7svPcHhXXzVDzBCTB7b0dd
Mám ľudí rád;Karol Duchoň;1974;spotify:track:4HbKgTTEssW0eKh7RgDIOm
Ty jsi jako ja;Anna K.;2014;spotify:track:6OaowsyzBrXv54E3wuJBav
Asi jsem blázen;SEBASTIAN;2023;spotify:track:0G8kqCffD1ekoKXUXnemxI
Este stale som tu ja;Pavol Habera;2006;spotify:track:7z3XQE1QZey1RrJKNLnSQG
Hľadanie;KATARÍNA KNECHTOVÁ;2025;spotify:track:22Eo6s3jUwLUKqauMevRx1
Duhová Vila;Hana Zagorová;1995;spotify:track:0PieYerOk86Ekubp9iOmuo
DIAMANTY;TEREZA KERNDLOVÁ;2025;spotify:track:2nE4B1zmyZSBZMPU9mqKGj
Plamen;KATEŘINA MARIE TICHÁ & BANDJEEZ;2023;spotify:track:7tHJ6WzWqlIWvE3LbA11gw
promiň;MIRAI;2024;spotify:track:3TfLsRRm4Y9Z4uYA0Fhjgp
Marcel z malého mesta;Peter Nagy;1985;spotify:track:04HvRXidzh6I8E5WV2FLeF
Pokoj v dusi - Radio Version;Jana Kirschner;2009;spotify:track:3TZHRGniASyxpgcLhOEOjY
Bláznova ukolébavka;Pavel Dydovič;2019;spotify:track:1ZZsJFLBGhBB0Rkc3WNL8D
Vrať Trochu Lásky Medzi Nás;Money Factor;1992;spotify:track:1yVpYrC9yRaqZJmuzLjnaW
Až;Katapult;2013;spotify:track:0wkhuhrT5xxQ3k3JWHVQr0
Za Dedinou;I.M.T. Smile;2000;spotify:track:0wDTIcVjMeQQDcZyBS0nVH
Hráli Jsme Kličkovanou;Dalibor Janda;2018;spotify:track:7xirpoaCyoLZjRYItccTdj
Príbeh;Tina;2009;spotify:track:5WdsJ37b3FlrvkJCCJgmc0
Ukaz Mi;Barbarra;2012;spotify:track:5Yk16yfunhKjtGFhZWZbLC
Do hory ma poslali;Kollárovci;2015;spotify:track:1ZtN7mT9NKzkLXnrwMlcLn
Nejsi sám;Verona;2003;spotify:track:53QVcpTTxHuFZBGSvZJIfT
Stuzkova;Elán;1985;spotify:track:5u5i6q83ZR0N2Mpd9tnqvI
Na na naaa;No Name;2013;spotify:track:74ywUovR60sxpBdwMXpHC5
Bol raz kráľ;KALI & I.M.T.SMILE & PETER PANN;2026;spotify:track:1wgM87wjdasTK934dUJ5z3
Voňavky dievčat;Vaso Patejdl;1987;spotify:track:2qagOsBeR0RCt8PfCiwULh
Cesta;Kryštof;2012;spotify:track:0KV8LwWowSPt8vAyn0GnNj
Tamagoči;ŠORTY;2019;spotify:track:6ZCvH6FTYkhPUC3IwXwWpQ
Srdce nehasnou;Karel Gott;2019;spotify:track:1tv5NPd0boSvcR4CjKWLZA
Hey Now;PETER BIČ PROJECT;2012;spotify:track:5oST4xZQSTwnApawzFs94Q
Ako obrázok;Miro Žbirka;1980;spotify:track:56AdrU1BrdEtd055G5FgkE
22 dní;Miro Žbirka;1984;spotify:track:5u5iANSXzVAsztBRXWkxvC
Dakujem ze si;No Name;2001;spotify:track:2Yda2McElBRLEpwIgWtzeR
Vánoční přání;DAVID DEYL & KRISTÍNA;2022;spotify:track:18j276Va2EYbJK1yjiuY3Z
Poďme sa zachrániť;Peter Nagy;2011;spotify:track:46d8hyT4fyM3FgNcTKZAlF
Tak Poď Sem (feat. Elpe);Igor Kmeto;2015;spotify:track:7aQot1IW3niyB4FUji3KJa
So mnou nikdy nezostárnes;Peter Nagy;2011;spotify:track:400zkkpowO3xkoPV70wrqy
Vianočný čas;EMMA DROBNÁ;2023;spotify:track:1l2F9w1Y1tqdkV8eQx5u0e
Sbirka zvadlejch ruzi;Wanastowi Vjecy;1996;spotify:track:63RXRPKS1HnF63iPe5eeq5
Diaľky;KATARÍNA KNECHTOVÁ;2026;spotify:track:0Xhh8dbkoTy3zWyJHJhQwJ
Insomnia Junkie;RODAN;2023;spotify:track:3Rw1Ihh3506woKEGF50XqK
Colu Pijeme Colu;Michal David;2010;spotify:track:7D6tR4p7aZsbK9SMPlDL4R
Na vodě;XINDL X;2016;spotify:track:3Du1VUrDuu6XHlmy1XE6XD
Branči Kováč;VEC;2013;spotify:track:7gasxKlCqCHxhcHATrVr5d
Trezor;Karel Gott;2007;spotify:track:3xakTmUd5yvAIg8IgDOqzi
Nebo Peklo Raj;Dara Rolins;2021;spotify:track:7lhIFuK76yWX8dRh5wGajl
Prepojení;PARA;2025;spotify:track:0MFJPzz4W4QiXeF3IyM28Q
Freedom (feat. Dani Slovak);MARK DANN;2019;spotify:track:6pyaRClu0jwRy3o0DNhk7V
Si sám;Tina;2011;spotify:track:76QUOURDYZuRnHHzKyb6uY
Láska je tu s vami;Peter Nagy;1986;spotify:track:1qhSoPJBrBuMWBawZUClky
Posledný krát;Peter Nagy;1984;spotify:track:1nbWrQ6usKePaPm3dw57nE
Pieseň ranených duší;KARMEN PÁL BALÁŽ & OLIVERFROMEARTH & NO NAME;2025;spotify:track:07UCWSAJmyOpLkLeSTYa3n
Priestor;LINA MAYER;2026;spotify:track:1F3ESkolnafxLMcpNKCloH
Sú Vianoce;UKITAS & MARK DAN;2022;spotify:track:24TrlKTz0kDEaVzyb8KUsQ
Je Naprosto Nezbytné;Hana Zagorová;2011;spotify:track:47qPYEemHl2RH9cbgBK3JH
Smile;EMMA DROBNÁ;2017;spotify:track:7puffwQ9useA8kBL78TxhN
Discopříběh;Michal David;2010;spotify:track:4gYfbp4Dh0zsG90JuQZqRP
Plavovláska;Dušan Grúň;1969;spotify:track:1wpqA9IJUls4bYi6IYPpiw
Caba neblazni;Elán;1989;spotify:track:4zph2rpvNf9NpRPBFwbzfa
Mám ťa v hlave;Tina;2011;spotify:track:7fPKmiVQxSY3Nvm4oKjRNJ
365 Dni;Rakby;2012;spotify:track:2kOg6zCdUucCqzWknJ5mrH
Mám Jizvu Na Rtu;Jaromir Nohavica;2008;spotify:track:7G3xp14p8oCz9Zd1KcnuzO
Naveky;ALAN MURIN;2026;spotify:track:21hApwg64lZjafQ5FESgw6
Srouby a matice;Mandrage;2011;spotify:track:3wfOyeMS8hHxxf8rzexktn
Zub času;RICHARD MÜLLER & BANKET;2025;spotify:track:63oedpQTCavVsJB0QGxwtJ
Vietor;ADAM ĎURICA;2023;spotify:track:1fn0jIeLMwPw9BmAYILkP2
Plakala;DIVOKEJ BILL;2000;spotify:track:3h9EMra1EG4oncHLPiEJce
Pozri sa Jaro;Lojzo;1985;spotify:track:2AVwIXx83mqkEgwWIdnsKE
Zničená zem;KATEŘINA MARIE TICHÁ;2020;spotify:track:4HYHnmG8fArFDCfgArFXB4
Zhori vsetko co mam;Desmod;2006;spotify:track:70rJkZHIYDptJu6DV9z5D1
Dovtedy;ADAM ĎURICA;2016;spotify:track:51J9tqhUE4bbK7zWUkF5z1
Čardáš dvoch sŕdc;Karol Duchoň;1976;spotify:track:3LmVNym79jPeDKOuIHte4T
Taká taká som;Zora Kolínska;1978;spotify:track:1WebvSecNMkL9d3BF79NVs
Levandulová;Hana Hegerova;1988;spotify:track:1hC5HnTbXo1z8nSaNEmlAs
Sushi;LE PAYACO;2026;spotify:track:5BRjcdjxYN4p8zS7r511LW
V blbym veku;XINDL X;2014;spotify:track:5z2Q7rGhoZ45M0BCeR4uWu
Zuzulienka;Mafia Corner;2013;spotify:track:6UNA6tgWMC0fDXAghRQ8bV
Měli Jsme Se Potkat Dřív;Marie Rottrova;1996;spotify:track:3s7v5Fw0pAkLGSwo6cDJRp
GenerácYa;MAJK SPIRIT;2015;spotify:track:0nh6fHZZerwuNeKIDJxu3u
Laviny;Desmod;2007;spotify:track:6bPlrL4xgzW7Yys7GAOGQX
Pálila Babka Pálenku;Heľenine Oči;2013;spotify:track:0TSwWJevyDTTWFJsQ6qOdO
Ruze z papiru;Brontosauri;2001;spotify:track:7ofZpnyzDnCN6fRcEyQMhL
Milionári;RAEGO feat. NORBERT;2020;spotify:track:1iOWj3mbwXfDj2CVtUQjf5
Půlnoční hřích;KRYŠTOF & DOMINIQUE ALAGIA;2026;spotify:track:4MulprGUyB9c3ddONkewVG
Neďaleko od Trenčína;Senzus;1992;spotify:track:6azWkg9jYUe5D2LfCbFODD
Neľutujem;Adam Ďurica;2015;spotify:track:0WHIAsfnYngbu4qq13bz5Q
Čoskoro;PETER BIČ PROJECT;2019;spotify:track:6f3SSzSqG6OWlCdmxv9hX1
Psycho Love;MATEJ SMUTNÝ;2020;spotify:track:0YGwJBdKGVDM6fyCjakFXc
Sestricka z Kramarov;Elán;1991;spotify:track:5qTfksz9Exx7hQPzamODOh
Magdaléna;Jelen;2016;spotify:track:4HPXODHoPRJU6kKwORRnkY
Ty a tvoja sestra;No Name;2001;spotify:track:6d2J7LcD4idSjXt38W5LEz
Sexxxy;Tina;2011;spotify:track:1ybjUKZfXropOcyGGZX7mf
Ženy Treba Ľúbiť;Majk Spirit;2011;spotify:track:3yZN97n4ZVlSKoF1Xz0pKS
Lady Carneval;Karel Gott;1991;spotify:track:2LnUpVGVfAvCf5PeU9Nh4B
Maštaľ;Horkýže Slíže;1994;spotify:track:05R8NevtkY2amHje98UR6P
Dovolená;XINDL X;2026;spotify:track:53UxaTCnm9s2zoE8rbW4nQ
Š - Š - Š;Zuzana Norisova;2018;spotify:track:117hy3a1uCR9umj26dSWIh
Náš příběh (feat. Marek Lambora);TEREZA MAŠKOVÁ;2022;spotify:track:6bM8lUJqOKk01onB5DfjKL
Taktomabyt;ANNET CHARITONOVA & BEN CRISTOVAO;2016;spotify:track:0hFJbq9BugegnbxberNRHQ
Neříkej, co má se stát;EWA FARNA;2026;spotify:track:2taQUA73P8EHhWsuv4QyJw
Lahůdky;DIVOKEJ BILL;2023;spotify:track:2yFBf8087MSMxX98r4OsPX
Non Stop;Michal David;2010;spotify:track:5TKIVIstlnC1D8IRsXkq6l
Anjel;DESMOD;2017;spotify:track:5hhbGMIjQ2KUZ8xqnA1yHS
A rána sú v ňom tiché;Lojzo;1985;spotify:track:6orDMYRlIdxSbF3gvRYmkL
Vidiečan;Vidiek;1988;spotify:track:55nADWH032RcOb0rnI750g
Znova sa ma dotkni;ELÁN;2024;spotify:track:5UUBieQvslSKQTHhszUM0O
Tancujem s tebou rád;Karol Duchoň;1976;spotify:track:4Io2dIcrIK5cXEPVMP9Nr9
Krátke lásky (sú tie najdlhšie);Team;2000;spotify:track:17hhmb5feWsor9Gu6gaZkc
Špinavé objatie;INÉ KAFE;2011;spotify:track:2WJvOjtAe9ToU1sTZAaljn
Oni;KATARÍNA KNECHTOVÁ;2023;spotify:track:20UIB8qsqjUeVfFGTqCz5V
Smoliar;Michal Dočolomanský;1972;spotify:track:3CjoCWeTKPEliQpQFi8jzU
Daydream;LARIS DIAM;2013;spotify:track:66RKhbAEL7lrS5fepZalLM
Za vsechno muze cas;Lenka Filipova;1999;spotify:track:5fa9peC0FS9xyPL0VHo0fV
Kralovna bielych tenisiek;Elán;1985;spotify:track:3w97pw90P2AyAE0ydrSe8y
Havran;Nocadeň;2015;spotify:track:091ZESkZ4mGmNw39DTxyhK
Žít Jako Kaskadér;Dalibor Janda;2018;spotify:track:5Avy8BMBkvT2MoR9a0l3mA
White Lines;SUPPORT LESBIENS;2020;spotify:track:1FqEMWS2mVV2yHyF9YKDR0
Touha a pláč;JELEN;2023;spotify:track:2kzym9iVUMPYdpXKNwlvhR
Žijeme len raz;EGO FEAT. ROBERT BURIAN;2012;spotify:track:7LzBwJcyGhFzlIhdfsoS1j
Čerešne;Hana Hegerova;1991;spotify:track:7L2ztLTIaHfk0YMHrQqRA3
V LETE ...;I.M.T.SMILE;2021;spotify:track:6y0STx13BwUbO9grgXNw2t
Vlčí srdce;JELEN;2016;spotify:track:6kjmwHl0E2kZiLfIaVLX45
Srdce nehasnou;KAREL GOTT/CHARLOTTE ELLA GOTTOVÁ;2019;spotify:track:1tv5NPd0boSvcR4CjKWLZA
Načo Pôjdem Domov;Kmetoband;2021;spotify:track:2rpV36kXZr6tTxbN54EJIi
Cerni andele;Lucie;1991;spotify:track:7jmrkcDlmFeEqSKESgnCzd
Milý Budúci;CELESTE BUCKINGHAM;2026;spotify:track:4btcldXFHmps55nZQMUUdV
Bílý den;ANETA LANGEROVÁ;2020;spotify:track:79bhJ8vEiEgsJUzy5jeaVV
Dobré ráno;TOMÁŠ KLUS;2016;spotify:track:10Px2Dk9cpyKRz6oYyHYJm
Prútikár;ZUZANA SMATANOVÁ & RICHARD AUTNER;2024;spotify:track:4BXoy7rXCHkzSj2JtKTOsD
Milujem;Zenit;1979;spotify:track:2lzl8EJbDdrfnW3iuva9gx
Medulienka;Pavol Hammel;1979;spotify:track:2YcefMp52OY8Q1vC9aUjMq
