# Music Cards song catalog — one physical card per line.
# Format: title;artist;year;spotify-link
# Generated by ImportPlaylists (make import); edit years freely, they
# come from the ALBUM release date and compilations are marked below.
Nebude to lahke;Richard Muller;1992;spotify:track:1NOprHPfoekR1eVttyw6kt
Správnej Čas;Michal David;2010;spotify:track:789DFLKQLojstASQOV4DZU
Podle sebe;MARPO & RYTMUS;2018;spotify:track:0oTXjw1nfdre4QFjG7gGJL
Stars (feat. Laniia);VIZE;2019;spotify:track:5E00xRhYsooyC3MBA2H848
Vesmír;LINA MAYER;2023;spotify:track:3dQiH2lKlKfkI3JMIYVpgG
Pěkná pěkná pěkná;Janek Ledecky;2016;spotify:track:7ANoAxb4bv3AME52eFL6c6
Zijem Pre Moment;Vladis;2013;spotify:track:00ndpBSbMFHWjiuGtj4Pc4
Sivá;KOMAJOTA;2026;spotify:track:26L7RxLxIqfZ11r6mdNIAY
To se mi líbí;MAREK ZTRACENÝ;2018;spotify:track:6RXhZWSUQEQYDUTNpPjyB2
Snad se něco stane;MAREK ZTRACENÝ;2015;spotify:track:1wwi81qqgXdmDaZm4RHSIH
Ona Je Madona;Robo Grigorov;1992;spotify:track:7cnK85OnK7MdDmOF7k6RHJ
Spoločne;Darina Rolincová;1986;spotify:track:2TkIdvcneXvNwDwFesTELb
Na dračích perutích;VESNA;2020;spotify:track:19et8tUus5gJczCvoKZmmA
Keď je 7 ráno zapnem rádio;Vidiek;1997;spotify:track:6sLYZkzcptpQl03rHXwFVY
Dnes;Tublatanka;1987;spotify:track:5OzabRfs8v5QM4AHIPzRFu
Proměna;XINDL X;2024;spotify:track:50m4DAIf9VP4h0wIaX7243
Bengoro;Rytmus;2015;spotify:track:1NM8NakeyR2BrsbrfwDgrL
Plavčík Milan;Heľenine Oči;2013;spotify:track:6Slmqj4UBVtZNfW31KxOxQ
Marie;Tomas Klus;2011;spotify:track:5gIZTEVOhrpLhF1aapk1IK
Banda tupých hláv;Horkýže Slíže;2003;spotify:track:3LucuIdNppCCb8x4Gf35b9
Zakazane uvolneni;Michal Hruza;2014;spotify:track:7wpbqcl0cxxGN8WNYz64Wr
Jsem dokonalej;DOCTOR P.P.;2013;spotify:track:69BeTDnAz3SsoFXjhhFSC3
Já sa cítim dobre;DOMINIKA MIRGOVÁ;2019;spotify:track:3WSE2EowiQHCDS0scmVcOy
Unikát;Maria Cirova;2016;spotify:track:3dmqP1oy2gOMeZrtXMXrfX
Niekto ti to povie skor nez ja;Desmod;2006;spotify:track:4cvFBGD9F5XUcgh2gjaZf0
Domov;ALAN MURIN;2024;spotify:track:5YGUlA6ApoJZwE024IGBrg
Zazni;Miro Žbirka;2011;spotify:track:17TrZDk85daSTAgFamc3mr
Oheň Voda Vítr;Dalibor Janda;2018;spotify:track:5Tp8VzasPSXFaqU6B5y6SO
Ona ľúbi pomaranče - Cover;Tobi band;2020;spotify:track:75faecMwtCyzzcEYudSQfj
Celibát;Slza;2015;spotify:track:0fMv0YpkNNMLVmkJKLlXaf
Príliš osobná známosť;I.M.T. SMILE & NIKOL ŠTÍBROVÁ;2021;spotify:track:2QuyMsdDkIuKaL2NJ72zUL
S Nohami Na Stole;Peter Nagy;2011;spotify:track:5kC11bKTJUDp3GzfWJvi1l
Rubikon;Kryštof;2006;spotify:track:0h2RmrBfQZqkKQwjLHYFyj
Dvaja;Robo Grigorov;1986;spotify:track:6FEpKFrvbqrtNQ6LzF3TsM
Sabotáž;BILLY BARMAN & BEN CRISTOVAO;2026;spotify:track:0sNs3lM1L7wfmPhpbsNI6z
Prach (feat. Lipo);SEBASTIAN;2020;spotify:track:3Hyy4fHXQgFllaUaN7pJIR
Miesto pre nás;ZUZANA MIKULCOVÁ;2026;spotify:track:24CwKICz8JoLkn6yV9jhzn
Křídla z mýdla;KRYŠTOF/JAROMÍR NOHAVICA;2012;spotify:track:7AbV3WJ4dBVzt5cmNKbRCL
Stará Lou;Kabát;2003;spotify:track:4C6RxpVVLZ5kJSdh0Q7s1i
Atentát;Kryštof;2012;spotify:track:4ql5EzWCo2WHFIw1Igv4fK
Play;PAULIE GARAND;2016;spotify:track:2565A4TQqunwFNAGTl5R0a
Hala hala;Michal Dočolomanský;1973;spotify:track:0iOYMXxvI3Mg9bKek5cxfm
Slovenske devy - Pop Edit;Iconito;2017;spotify:track:0QB2ucpUHz0ds2l9cxJxBh
Rituál;ADONXS & EMMA DROBNÁ;2026;spotify:track:10r7MFieVraQW6a54q6rqC
Dievčatá;Modus;1978;spotify:track:4h5Uk02WgZpPVyOthWuUbr
Šiel šiel...;Karol Duchoň;1974;spotify:track:2eZzkVF27XXbM17u6J76Zc
Volám;MIRAI;2021;spotify:track:2ATUtQqCFCiSStfckkPSpm
U Zubára (Bonus);Bukasový Masív;2000;spotify:track:05oBWFUZfA45khJgJgcOHz
Zalubil sa chlapec;Elán;1985;spotify:track:5QIlLqyBR5mAWeJNyTYaUi
MIESTO (feat. Ben Cristovao);I.M.T.SMILE;2021;spotify:track:3xHmoH488pkQ7jsiRYByZq
Samotní nejsme nic;LENKA FILIPOVÁ/LENNY;2021;spotify:track:44m0ATVFWHlGcobAytQuVW
Motýli;MANDRAGE;2017;spotify:track:32DWJKw2RH44E50stKxDm4
Prva;No Name;2004;spotify:track:6nDTN2dnyP3hgSgnPH2Tpt
Ukulele ukulala iaá;Lojzo;1985;spotify:track:1Q5z2galmz5Jymu71DdAHy
Bergen;ZUZANA SMATANOVÁ;2018;spotify:track:2p11aXJiXzUX4l1aOvz3Lb
Pry se tomu rika laska;Lenka Filipova;1984;spotify:track:3Hfgyhw7dqiM3vXENopznG
Nenahraditeľná;Sima Martausová;2018;spotify:track:0gwYuzU19qCHBp7uQW9bVG
Frantiskovy Lazne;Mandrage;2011;spotify:track:5YWySy49KKTQbJQqIIatPp
Atómový kryt;Horkýže Slíže;2003;spotify:track:0abmksT4WBIpDYNTxpjGb4
Báseň;CHINASKI;2019;spotify:track:7MzDlijqJojwoQHJ0hkjUl
Výlety;Eva Kostolányiová;1975;spotify:track:56GJpfnFkwNsv1D6NKZXWj
Diridonda;REPETE;1995;spotify:track:2edaw3uB4jpXCnaxDpAmqI
Úsmev;Marika Gombitova;1977;spotify:track:0ohYRz7F5vDDPXrHiJc6Vi
Chlap Z Kríža;Pavol Habera;2008;spotify:track:6bEySIYNxS9HwQRi6u3eFi
Nikdy nebolo lepsie;Hex;2006;spotify:track:7jMp3SlDPxKZDD1K3mvOz0
Jasná Zpráva;Olympic;2007;spotify:track:4yxIm2HKyfd34E5sTHmSU2
Bol Raz Jeden Ziak;Robo Grigorov;1987;spotify:track:3QCPAakpKXy7jyCt4Imxte
Hvězdy;SEBASTIAN;2016;spotify:track:4mV4V4RiM1t3qOn6ay2tJW
Moje milá;Marek Ztracený;2023;spotify:track:3bKNO8XETLssWVretb4uoS
Tsunami;DIVOKEJ BILL;2017;spotify:track:5op1X8TfWNUmJnwRzCQ3qL
Nič sa nezmení;PETER CMORIK;2023;spotify:track:4Mm2QOnnAe2zbfFw7NnyU3
Katka;Miro Žbirka;1986;spotify:track:31gE4oBfYZVL4wlINvrgvE
Zatancuj si so mnou;Adam Ďurica;2018;spotify:track:3lmWugmDLOLAf6f09EnZ4N
V piatok podvecer;Hex;2002;spotify:track:5lQCyN4IBR031IZb2Q5Rsy
Cigaretka na 2 tahy;Richard Muller;2002;spotify:track:5OvHfKDT1HYoaHRAStH7pS
Cítiš;AMO;2026;spotify:track:66m3NVLP93QcpKQBZpOWLg
Geronimo;POST-IT;2026;spotify:track:4vVo1j0D6hfRdQC5EeyytR
I Was Wrong;CELESTE BUCKINGHAM & MAJK SPIRIT;2013;spotify:track:59LMoeMtyPdgA7o8b3cnUW
Vilma;PARA feat. JANA KIRSCHNER;2024;spotify:track:31lIXCDjE3cvPYvlAcFpYm
Od Tatier k Dunaju;Elán;1989;spotify:track:5SfF5pQVFDSeq3K2AdMnaV
My 2 jsme se našli;VOXEL/eM.;2020;spotify:track:5s0bK2r3ZZx5vwrisxON6t
Zbohom buď lipová lyžka žitia môjho verná družka;Michal Dočolomanský;1974;spotify:track:2HfmcQxtusyjJEgOV7pq7P
RYDM;ADISS & ŠORTY;2023;spotify:track:5ATs0OLWYIOZNBwMAsc44l
Če če re če;Gipsy Čáve;2022;spotify:track:5bpkIOuhbbytW4IfozarZU
Cudzinka v tvojej zemi;XINDL X;2014;spotify:track:2U4hdD3EL8I27sf25uh0Xv
Brighter Day;BEN CRISTOVAO & SARA JAMES;2023;spotify:track:5DjBfiWgOWNWxiLyOejxsE
V slovenských dolinách;Karol Duchoň;1976;spotify:track:7pRA5Fy4vbRjU6ecLyPXYQ
Sněhulák;MICHAL HRŮZA;2014;spotify:track:4SUwvs2cjSe158RwNqk746
Je to vo hviezdach;Pavol Habera;1991;spotify:track:1Vx9vYtgBSWDQuktVEgK4q
Láva;PETER BIČ PROJECT;2019;spotify:track:2tQOFSbhNFRxbGLIdgRU0X
Horehronie;Kristína;2010;spotify:track:012d7d7oRmXrqrZWtHakom
Na Tebe Zavisly;Desmod;2004;spotify:track:3cFFsWW8s3pyafMayZIBvB
Terárium;Horkýže Slíže;2012;spotify:track:3QtJXbA7WLHp30fBKgnJbD
Rieka;Fallgrapp;2015;spotify:track:6mlwgkYGEsW88gfJR8JThC
Stanky;Brontosauri;2001;spotify:track:30w2EMdylGkXz4io9GPsVr
Dievča z reklamy;Beáta Dubasova;1987;spotify:track:3RTdY8oxIlbxPLWfYnQB8K
Mariša;Kollárovci;2015;spotify:track:67B20YM2Smrada1962iHyN
Tak se nezlob (Podpantoflák);MAREK ZTRACENÝ;2020;spotify:track:2c1bi72Up6wiYxDn49CFdD
Slobodná;Elán;1983;spotify:track:4kCgq4v54dDG0DnlFLCRK7
Magnetické bouře;TOMÁŠ KLUS & VĚRA MARTINOVÁ;2026;spotify:track:0zwPJYEd5OkL6lOdaJn4J0
Poď so mnou;I.M.T. Smile;2018;spotify:track:5zE8jYALzAISn0aO3BBAs7
Say My Name;PETER BAŽÍK;2015;spotify:track:6wcCwaCNsb53hIIpW5Y5Bw
Bílý kraj;JAN KALOUSEK;2010;spotify:track:7KYJaquZuPLZRDaUbZ5SQ7
Kohout;Jan Nedved;2005;spotify:track:2KuhEhoshcGUEchIG4DQvA
Primetime;MAJK SPIRIT;2015;spotify:track:58NA2e7d5vmA0r60Q2GdJ5
Virtuóz;Kabát;2007;spotify:track:66Tkxd0CKedA86LTbGyify
Študentská láska;Marika Gombitova;1978;spotify:track:1LcU5QiBGmzUUjKwFISzK8
Biela krása;NO NAME;2011;spotify:track:12A747TNhz7kzsAMRk3WAU
Ledaco;TOMÁŠ KLUS;2011;spotify:track:3P6cf9v8msuBqGtQMImqtf
Nechte Vlajky Vlát - Radio Edit;Ales Brichta;2000;spotify:track:3bbweLktQnCwuhLqzA9O1J
Dadae;CEHA & ANNABELLE;2020;spotify:track:6cEJKHC5Ow9s2NS4BekGgY
Cim to je;Igor Timko;2005;spotify:track:6aw0oIOwIaWk3AR1fF3dhJ
Život nás má rád;KATARÍNA KNECHTOVÁ;2024;spotify:track:1slfdRKqH8PCf2mcsCbzo8
Nazdar !!!;Horkýže Slíže;2012;spotify:track:4q8tTYsUbSvYfCvx4JhQjt
Ta ne - Radio edit;Kristína;2014;spotify:track:6kWIW8NKbvbfuxsmL4ZBsJ
Môžme si už odpustiť?;ZUZANA SMATANOVÁ;2023;spotify:track:39YEPOteyrsWz430p8oieb
Aj keby;I.M.T.SMILE;2018;spotify:track:4OrXGhGS2Eu3QNVqS4MVdZ
Iskrí;ADAM ĎURICA;2026;spotify:track:15A7fmX9syXZikWgoloyvm
Dobrý kafe;LUCIE BÍLÁ;2021;spotify:track:6wIa2yVDueIcPepoYD5L2O
Nechajte si ju!;Vidiek;1988;spotify:track:1vnpq8ChaYGjM0D8MwI6pv
Potkal Jsem Tě Po Letech;Chinaski;2017;spotify:track:3wnSkikz2xzpf03UEDgTj9
Nedá sa ujsť;I.M.T. Smile;1997;spotify:track:0IGKygQ2bKNACuiHiB2OBr
Za ránky za rosy tráva sa kosí čakal som na teba tri dlhé noci;Michal Dočolomanský;1974;spotify:track:5AcHCSxZIo8Q61A7VBcsKw
Proklínám;Janek Ledecky;1999;spotify:track:36ZYgm1EOxIXTODhU9Wmwj
Záverečná;Iné Kafe;2001;spotify:track:0VTSt9Vai5M8aLTFHEhaiX
Asi Asi;Hana Zagorová;2006;spotify:track:2WDqRmGrx9ic92msBjjjMx
Fajnová;Rytmus;2012;spotify:track:30NaJj7fBiMklGL8528KMs
Půlnoční;VÁCLAV NECKÁŘ & UMAKART;2011;spotify:track:5Thza83zbkoIupxDHf9kmq
Světozor;MICHAL HRŮZA;2014;spotify:track:4nQoUaiNRAdSBbZiyKCGaO
Smrtka na prazskom orloji;Elán;1987;spotify:track:3UM3qkUuQ8Et0V4MrHsTUH
Len sa smej;PETER BIČ PROJECT;2025;spotify:track:7wyC3vqnRuyCGnbv9VdDHZ
Ked sa laska podari;Gladiator;2004;spotify:track:0yFZK1xLhirPCbfIEkAYmy
Někdy příště;Katapult;2013;spotify:track:0imaDfmHTSoXryZt2TJd9d
Baroko;Richard Muller;2000;spotify:track:2MW55kepFbp4chD3h5cQvH
Malinovej sirup;MIRAI;2026;spotify:track:2qzrTLddHEvPZWUHvQzLwL
Profesor Indigo;Peter Nagy;2011;spotify:track:1q41eTPFjHP2hAc1vmFXM7
Ak Náhodou;Darina Rolincová;1987;spotify:track:0rPR69G9HEELU7rOP5Vb9u
Už mě nesou;DAVID STYPKA & BANDJEEZ;2025;spotify:track:1G8ScJlJqRaMjiHxlvoi5Q
Slovenské tango;Richard Muller;1988;spotify:track:5VFHZujvpj8A7rXfdalEVd
Abstinent;Para;2007;spotify:track:5Vp6TN7vCQBZZW4BNWrBxW
Bára;Kabát;2000;spotify:track:3gTO7kpYKkaf5rt9afKbFU
Anjel;KARMEN PÁL-BALÁŽ;2023;spotify:track:0bFOxnk60aElwvEfIQU8yy
Dnes Večer Vám Zábavu Hráme;Kmetoband;2021;spotify:track:1a402ytQ3m4Z1z1XfNvx94
Saty;Marika Gombitova;2001;spotify:track:6KdoNAWqzgyp0ecpl5MG0K
Chci tančit;MIRAI;2017;spotify:track:3Uq54ocRHLezgitc7PsIR0
Má chata, můj hrad;XINDL X;2021;spotify:track:5YXvyLH9aMIQm1WLcyhjwC
Morning Blues;ANIKA IRIS;2026;spotify:track:05riaafW0OjKtFN5BIEftr
Trip;VOXEL;2014;spotify:track:4qE3jj2MxGByq6dEVxiljq
Což Takhle Dát Si Špenát?;Jiří Schelinger;1977;spotify:track:3auIshMqjBPMiu7sgUcLev
Céčka Sbírá Céčka;Michal David;2010;spotify:track:6c9WWROtxi7vm7Kc3LwVgi
Podvod;Jan Nedved;2005;spotify:track:31zVK1q6ylneV8C90vFrzm
Do batozka;Milan Lasica & Jaroslav Filip;2011;spotify:track:4tQkReqrMKnzNYNj1CQuW1
Sloboda;BILLY BARMAN;2016;spotify:track:1tMtnfc3rXrlIYWxonyx26
Keď Sme Sami;Hex;2013;spotify:track:7ewKwVHxQzKWPOFRz83R0n
Dokola;TOMÁŠ KLUS;2024;spotify:track:20LXH5h55JIaLz7yLtdv8i
Pocity;Tomas Klus;2008;spotify:track:55TAuwxbjURBFc4HDXv2bO
Let Me;DJ CHINGY & MIŠO BIELY;2020;spotify:track:3lTQLRyfpDoNb8ROJWKx5q
Hej sokoly!;I.M.T. Smile;2020;spotify:track:5UdtMjW8tZzO1akPARqt4o
Dnes Si Ja Zaspievam;PARTIA OD ŽILINY;2023;spotify:track:17It9AN6RRHvKYF1X8bJrN
Cesty II. triedy;Ivan Tasler;2015;spotify:track:1HRxBLlco4o37Mu341Yv7j
Na Vianoce patríme k sebe;SMOLA A HRUŠKY;2017;spotify:track:2zWpnLxA3GS2MN6qPQghJb
Šťastné a veselé;DOMINIKA MIRGOVÁ;2021;spotify:track:073g648fVLwBIYSjY6Jec5
Pomaranče z Kuby;HEX;2023;spotify:track:4zbrw4YrlD7IoS5MCBTuiH
Ak nie si moja;Vaso Patejdl;2015;spotify:track:0UzMasV4giwxZo9AoosW6m
Naladu mi dvihas;Misha;2002;spotify:track:7F2W40D4R2KYs43EbyneS5
Ceresne;Z. Smatanova;2012;spotify:track:6eD4K3qBqAKPLU6p5SdFXx
Cudzinka v tvojej zemi;XINDL X & MIRKA MIŠKECHOVÁ;2014;spotify:track:5BE76pyU7vMV6WjXgXmwKk
Emanuel Bacigala;Horkýže Slíže;2007;spotify:track:61w1Li2YQfD8o2MtKr1l2t
Vianočná nálada;KRISTÍNA;2010;spotify:track:7LJoDV4Y6AEeROxZaphgX6
Naviděnou;KRYŠTOF;2017;spotify:track:4kiGLVNeCuvtW1TIrFkG5D
Ze mi je luto;Elán;1986;spotify:track:56e1PcqaNdx2bj0NzBjM1q
Krajina Rovina;Jana Kirschner;2010;spotify:track:1eLTjeMz8Km7elBqb14OXK
Z popola je oheň;ADAM ĎURICA;2025;spotify:track:7g144MUCpjNovNOJvojhD5
Svätojánske mušky;SIMA MARTAUSOVÁ & RICHARD MÜLLER;2016;spotify:track:5VUS7ejwnWibVVkVLgXIyS
V oblacích;JELEN;2021;spotify:track:3OWvvhW0yxWcc3FPJt86Ok
Ona Má šýl (feat. Anita Soul & Rytmus);Igor Kmeto;2015;spotify:track:5Nn5oeaHN5ws7MZ6sK2RBm
Víno;Chinaski;2014;spotify:track:7m3A7nJjioOGQdmztQBgo7
Všichni Jsou Už V Mexiku;Michal Tučný;1985;spotify:track:3teswVSFKQB9c6chKzS5lj
Rudy a Hilda;Vidiek;1993;spotify:track:2jFvoqBgoxdPtt77lKecI3
Pouta;DAVID KOLLER;2023;spotify:track:4ssNdr1D1dr4BRqz66j7of
Come Again;CELESTE BUCKINGHAM;2025;spotify:track:38poAhvoHrJ3OBlvPUf68a
Bohyne;Sima;2021;spotify:track:68uIfEARNrfZvOw5c5bNuY
Mam Dobru Babu;Martin Madej;1997;spotify:track:0AmIgZkBUWV5F4dEhmEUAS
Gone;RODAN;2020;spotify:track:13ZqRAgMAHJbwuoeixr0Uc
Cítim Vôňu Lesa (Borovička);Emily & Justice;2016;spotify:track:4vaY1XMcHXVjBYtQbyluH5
Tam kde sa neumiera;Zuzana Smatanova;2003;spotify:track:1K5DdKryUR5riGhnGjWMyx
Dva a dva;Elán;1985;spotify:track:0DB5lqehQ50WHZSw1clUPx
Ulica;Elán;1982;spotify:track:1mNwRsmpkhl0o0ajFwivEw
Komplikovana;Polemic;2000;spotify:track:0seG7yDF0lRstFpAxhayMV
Papierové kone;NOCADEŇ;2015;spotify:track:4CkmFT0dH1xRCQF7rU93N2
Rodný môj kraj;Karol Duchoň;1976;spotify:track:3BfSdHZoeS1XA15sm7I1E5
Superstar Mindset;PALERMO & ISSA ME MARIO & CALL DOMINIKA & S. LAMBO;2026;spotify:track:7BeB9VGRJMpfZEHrmMuNfY
Vstávej;DIVOKEJ BILL;2013;spotify:track:22akjnhMDw5qNo2At9BjB6
Běž;PILOT;2011;spotify:track:090oN8RHSUFM3l8b22YdNM
Zamilovaná;Lenka Filipova;1992;spotify:track:1tEsUho7ih4w3EQdkZdVSe
Úsmev;Modus;1977;spotify:track:7tvf19qAPu8v3lGMi1JSaq
Korálky od Natálky;Peter Nagy;1989;spotify:track:7hBinBCMcfVlWTck0Cmcg8
Malá Žužu;Horkýže Slíže;2002;spotify:track:0rxLlG7C0vTmHsVdg29C0H
Zkouším žít;POETIKA;2017;spotify:track:7zg1eNhPUQXKqsPFENoIwq
Holomráz;SLZA;2017;spotify:track:50exsBiJKIW8JCARAwOCLd
Vetroň;Hex;1997;spotify:track:1uU97QADs8xJAl3PEWAsoD
Nechte Zvony Znít;Marta Kubišová;1990;spotify:track:76SMednGbJAiTEC1nbw4qw
Fotky;SLZA;2020;spotify:track:1dKJ5f40yslIcQ2fgmDQZQ
Reklama na ticho;Team;1988;spotify:track:50I8EQ1iJ2tCyiWGbWuuHG
Slzy ženy;MARTINA PÁRTLOVÁ;2026;spotify:track:2p4ts6tqpT2Icn8Utb4mg3
Jméno;TEREZA KERNDLOVÁ;2020;spotify:track:6eYbAAPSkE2Vz1WXc3233I
Letter To You;LENNY;2013;spotify:track:6vT0tIJDCi5sV7kvIQZ7zQ
Posledny Panak;Rakby;2012;spotify:track:7H1JYkg1usp2wvGRsCA6e8
Ludia nie su zli;I.M.T. Smile;2002;spotify:track:337p5pJFHaEprWk9KZeNkI
Borovka;Kollárovci;2017;spotify:track:4kT5QRVpvYH4iYk7njAk0F
Hrobař;PREMIER;1995;spotify:track:4hxRzLpPsT4LZtvXRFCf7I
Jízdní řád;HODINY;2017;spotify:track:5DKH8zGLfk2rf0XqWzRRON
Spolu;MIKAEL;2026;spotify:track:2ceCbRwB43HuiJTTTrDymA
Vrat mi tie hviezdy;Beáta Dubasova;1993;spotify:track:1o4ZL2CA29N9uhBK7U5l6R
Tak poď sem;IGOR KMETO & ELPE;2015;spotify:track:7aQot1IW3niyB4FUji3KJa
Otec;Para;2015;spotify:track:68wA4dZRUdBTexNRwgDJo1
Cigarety;Horkýže Slíže;2002;spotify:track:59kYqkqrQm2BGjcqPj9Fkm
Logicka Hadanka;Horkýže Slíže;2000;spotify:track:4nPCyhGZAXrWiNgCcdayuF
Modlitba za pátek;MAREK ZTRACENÝ;2026;spotify:track:6Iz6qtGIidBNgcvjixcHAE
Klidná jako voda;JELEN;2016;spotify:track:2ia95mzC0JceWNulatZHLy
Nie alebo ano;No Name;2001;spotify:track:6hA3stpTqqmoWXlN7stfLz
Taká sa mi páči;Hrdza;2016;spotify:track:4Un28K9pxVmdkPSe8mDsjU
Na kolena;Ivan Hlas;2021;spotify:track:2V4WkvtORbhGqnyklzEiHo
Jediný, co chci;JELEN;2021;spotify:track:0160pDzGDTG7O0iTgPlWF2
Príliš osobná známosť;I.M.T. Smile;2019;spotify:track:49zM81Vlmx1S46mmaaRSBw
Vedle tebe usínám;MIRAI;2021;spotify:track:1gkuJxWBlpcUFkqNsEkgQg
Navždy mladí;HEX & EMMA DROBNÁ;2023;spotify:track:3DKIbNJVKsrp1re9ZsgE3p
Láska '92 - ?;Marcel Palonder;1992;spotify:track:2kSSLOCEKqZpdA0z7upvBy
Báječná Ženská;Michal Tučný;1994;spotify:track:7IsoVbJGTfKMWzESO9ZBDM
Dole v dole;Kabát;2003;spotify:track:63eXDWtCoO12Y1Sre61GBB
Sladké Mámení;Helena Vondráčková;1983;spotify:track:12SwtPUd1LOTKXZzSpyv8A
Chrán svoje bláznovstvá;Peter Nagy;1984;spotify:track:1eK5iE8cwcjKWpYG75gl1P
Kapradí;CHINASKI;2019;spotify:track:3ET8ScFbOdlJ4967tVWlmj
Púšťam ťa;KARMEN PÁL-BALÁŽ;2019;spotify:track:7j6Ks8vK7YB3SBPSIjOqvq
Mademoiselle Giselle;Václav Neckář;2003;spotify:track:5VEp9Mb9yfaiXEU9tSFv32
Paráda;Karel Zich;1994;spotify:track:490a6Q2lcO255N44q3Xpgx
Modlitba;VOJTĚCH DYK;2024;spotify:track:1Uei9zhTXAH0hWZu1cGB17
Levandule (feat. Sebastian);ATMO MUSIC;2026;spotify:track:5GT3P0oTfYNyD0AuCUGGzV
Lístok na Mars;Horkýže Slíže;2001;spotify:track:4Eheq82aP6NfJ1NTA45a2j
Crushin´ My Fairytale;CELESTE BUCKINGHAM;2013;spotify:track:7DzMlj8nE4ghBY6zhTWRly
Never Get Over You;MIKOLAS;2023;spotify:track:68Y2EMgrAZDrwRIlhWxLxa
Mám ťa rád;Karol Duchoň;1971;spotify:track:3aCpawvHOSIfMQEOYUXy56
Půlnoc;POETIKA;2022;spotify:track:6JNm6Sj8L6F4t0KpcHFyuJ
Hodný holky zlý kluky chtěj;HARLEJ;2017;spotify:track:19OSnGwDEuiDjJtECfpnX3
Proměny;Čechomor;2000;spotify:track:4sRdfycmW4vBDEOPng34F6
Vesela pesnicka;I.M.T. Smile;2002;spotify:track:0FiyHU0IYSbaEhfP4TInko
Medvídek;LUCIE;1998;spotify:track:5L4eJvsjc2B8vy76NUOPrs
Staré časy (feat. Polemic);MEDIAL BANANA;2020;spotify:track:1AwSVIAGWxwKlqrvKscbBO
Anka Anka;Kollárovci;2017;spotify:track:52rQDh0Trg58okewwFo1DS
Cakam Ta Laska;Elán;2015;spotify:track:1FpO3Vr0ZuXQcEgY6RbMRP
Andělé;ATMO MUSIC;2013;spotify:track:1Z4hagkcT4q6uX4aMzcsAI
Take It;EDDIE STOILOW;2013;spotify:track:4LqBsL0CfaB71Uav1y48eX
Dej Mi Víc Své Lásky;Olympic;2004;spotify:track:7dJsbesRkcOTXJoDtINgBZ
Elena;Karol Duchoň;1976;spotify:track:1UlXefJczv0UGzrbB0xaEZ
Medzi tebou, mnou a nebom;NOCADEŇ;2026;spotify:track:3mIvkkWwxLSnyNpKmcjVaV
Tak pojď hledat břeh;KRYŠTOF;2015;spotify:track:3MIm5sMfSrP38cYn5Y6qeS
Bolím;MARTINA PÁRTLOVÁ;2019;spotify:track:4TZX1L3k1tfsZ9G2WURm1h
Hořkosladký valčík;TEREZA MAŠKOVÁ;2025;spotify:track:0T2UkVoGNBYJj22pBznElr
Nádej a Viera;MARIÁN ČEKOVSKÝ & NATAŠA DZUNKOVÁ;2026;spotify:track:7rUarxlrhbjxZh3jGZU1JV
Horou;ZUZANA SMATANOVÁ;2018;spotify:track:5z9yAUIiJOVHO4hJFtlCDC
Lavina;MIRO ŠMAJDA;2026;spotify:track:6cJWX9plIUlZctMqGuKmbY
Fajčiť Treba;Smola a Hrušky;2015;spotify:track:7FGFt9Eh9HN54SjhG4IwOl
Vánoce na míru;EWA FARNA;2017;spotify:track:3j30Y6jVypcZxFiWATyZ4Y
Každou vteřinou;POETIKA;2017;spotify:track:6WyYT7kQW22jLzGlS1BHJf
Ďakujem;MAJSELF & KALI & DESMOD;2026;spotify:track:3vby0MjRLsx8uGr6ehL0vb
Pokoj v duši;JANA KIRSCHNER;2015;spotify:track:4GvqLzIUcQTWXNVI3kfAE9
Otázka za milión;INÉ KAFE;2024;spotify:track:3v0jnzc2qjR9X2w8hTkxtz
Timeless;SKYLINE;2016;spotify:track:6ytJ2M2oxDfep0onK2x7pe
Bratříčku Zavírej Vrátka;Karel Kryl;1969;spotify:track:2nD7oywcHRgkCjSPDV2Dka
Drahokamy;MIRAI;2025;spotify:track:5AG13XuGKvG9ikIhvSJUdp
Byla to láska;Lucie Vondráčková;2014;spotify:track:6Vr1CRkG9Gbf98g8U8OQpB
Slovenská;MIRO ŽBIRKA;2020;spotify:track:2VSvUkw4clNWUENCe6CQoK
Nesmím zapomenout (Mámě);KRYŠTOF;2017;spotify:track:2YeCRXVyozK3esEpVR3f8g
Být stále mlád;Karel Gott;2019;spotify:track:2jOOTYw3eLdskMRd1HtecC
Do neba;DARA ROLINS;2025;spotify:track:6l9boZ3fWCzo0QZlrnKbTq
Yahoda;MIRAI;2019;spotify:track:2m25cn629PZ92Dhnk0m39e
Podaj mi ruku;AMO;2023;spotify:track:1tM9APbTByLRKqbpcUWhos
Vymyslena;Elán;1982;spotify:track:1jgQ6Xr7WYDVX2QelbVHRg
Anděl;MIRAI;2016;spotify:track:2PXzDUewoYECb7VVS4XJ9w
Lietam v tom tiež;Team;1989;spotify:track:7BrkTYCnwQhKmWNyH0rF1K
Všudezdejší;JELEN;2024;spotify:track:4uUdIshKcMM02Kpdjb9mgo
LET ME DIE (feat. Giovanni Ricci);MARK DANN;2025;spotify:track:5u4uE1cuvoieudzvQmprdb
TICHÁ PIESEŇ;PETER BIČ PROJECT;2019;spotify:track:5PnDRhXaA7WW1vvbxPp8li
